,voc_bin,depth,game_id,move_ply,voc,nodes,time,voc_mid
0,"(-0.005, 0.0051]",1.0,138620966,138620966,138620966,138620966,138620966,5.000000000000013e-05
1,"(-0.005, 0.0051]",2.0,3033039,3033039,3033039,3033039,3033039,5.000000000000013e-05
2,"(-0.005, 0.0051]",3.0,3661379,3661379,3661379,3661379,3661379,5.000000000000013e-05
3,"(-0.005, 0.0051]",4.0,1822518,1822518,1822518,1822518,1822518,5.000000000000013e-05
4,"(-0.005, 0.0051]",5.0,2096824,2096824,2096824,2096824,2096824,5.000000000000013e-05
5,"(-0.005, 0.0051]",6.0,1648202,1648202,1648202,1648202,1648202,5.000000000000013e-05
6,"(-0.005, 0.0051]",7.0,1435930,1435930,1435930,1435930,1435930,5.000000000000013e-05
7,"(-0.005, 0.0051]",8.0,1316342,1316342,1316342,1316342,1316342,5.000000000000013e-05
8,"(-0.005, 0.0051]",9.0,1168000,1168000,1168000,1168000,1168000,5.000000000000013e-05
9,"(-0.005, 0.0051]",10.0,955070,955070,955070,955070,955070,5.000000000000013e-05
10,"(-0.005, 0.0051]",11.0,784119,784119,784119,784119,784119,5.000000000000013e-05
11,"(-0.005, 0.0051]",12.0,691984,691984,691984,691984,691984,5.000000000000013e-05
12,"(-0.005, 0.0051]",13.0,624114,624114,624114,624114,624114,5.000000000000013e-05
13,"(-0.005, 0.0051]",14.0,664840,664840,664840,664840,664840,5.000000000000013e-05
14,"(-0.005, 0.0051]",15.0,494284,494284,494284,494284,494284,5.000000000000013e-05
15,"(-0.005, 0.0051]",16.0,440842,440842,440842,440842,440842,5.000000000000013e-05
16,"(0.0051, 0.0152]",1.0,0,0,0,0,0,0.01015
17,"(0.0051, 0.0152]",2.0,3293929,3293929,3293929,3293929,3293929,0.01015
18,"(0.0051, 0.0152]",3.0,4827007,4827007,4827007,4827007,4827007,0.01015
19,"(0.0051, 0.0152]",4.0,2461460,2461460,2461460,2461460,2461460,0.01015
20,"(0.0051, 0.0152]",5.0,2745203,2745203,2745203,2745203,2745203,0.01015
21,"(0.0051, 0.0152]",6.0,2235236,2235236,2235236,2235236,2235236,0.01015
22,"(0.0051, 0.0152]",7.0,2061133,2061133,2061133,2061133,2061133,0.01015
23,"(0.0051, 0.0152]",8.0,1985950,1985950,1985950,1985950,1985950,0.01015
24,"(0.0051, 0.0152]",9.0,1719599,1719599,1719599,1719599,1719599,0.01015
25,"(0.0051, 0.0152]",10.0,1412262,1412262,1412262,1412262,1412262,0.01015
26,"(0.0051, 0.0152]",11.0,1289908,1289908,1289908,1289908,1289908,0.01015
27,"(0.0051, 0.0152]",12.0,1159911,1159911,1159911,1159911,1159911,0.01015
28,"(0.0051, 0.0152]",13.0,1016854,1016854,1016854,1016854,1016854,0.01015
29,"(0.0051, 0.0152]",14.0,904302,904302,904302,904302,904302,0.01015
30,"(0.0051, 0.0152]",15.0,791019,791019,791019,791019,791019,0.01015
31,"(0.0051, 0.0152]",16.0,694942,694942,694942,694942,694942,0.01015
32,"(0.0152, 0.0253]",1.0,0,0,0,0,0,0.02025
33,"(0.0152, 0.0253]",2.0,2008148,2008148,2008148,2008148,2008148,0.02025
34,"(0.0152, 0.0253]",3.0,2942133,2942133,2942133,2942133,2942133,0.02025
35,"(0.0152, 0.0253]",4.0,1694661,1694661,1694661,1694661,1694661,0.02025
36,"(0.0152, 0.0253]",5.0,2182518,2182518,2182518,2182518,2182518,0.02025
37,"(0.0152, 0.0253]",6.0,1528766,1528766,1528766,1528766,1528766,0.02025
38,"(0.0152, 0.0253]",7.0,1398990,1398990,1398990,1398990,1398990,0.02025
39,"(0.0152, 0.0253]",8.0,1332972,1332972,1332972,1332972,1332972,0.02025
40,"(0.0152, 0.0253]",9.0,1111674,1111674,1111674,1111674,1111674,0.02025
41,"(0.0152, 0.0253]",10.0,992544,992544,992544,992544,992544,0.02025
42,"(0.0152, 0.0253]",11.0,889580,889580,889580,889580,889580,0.02025
43,"(0.0152, 0.0253]",12.0,802467,802467,802467,802467,802467,0.02025
44,"(0.0152, 0.0253]",13.0,713972,713972,713972,713972,713972,0.02025
45,"(0.0152, 0.0253]",14.0,635502,635502,635502,635502,635502,0.02025
46,"(0.0152, 0.0253]",15.0,566137,566137,566137,566137,566137,0.02025
47,"(0.0152, 0.0253]",16.0,479851,479851,479851,479851,479851,0.02025
48,"(0.0253, 0.0354]",1.0,0,0,0,0,0,0.030350000000000002
49,"(0.0253, 0.0354]",2.0,1549737,1549737,1549737,1549737,1549737,0.030350000000000002
50,"(0.0253, 0.0354]",3.0,2120952,2120952,2120952,2120952,2120952,0.030350000000000002
51,"(0.0253, 0.0354]",4.0,1258701,1258701,1258701,1258701,1258701,0.030350000000000002
52,"(0.0253, 0.0354]",5.0,1424562,1424562,1424562,1424562,1424562,0.030350000000000002
53,"(0.0253, 0.0354]",6.0,1136838,1136838,1136838,1136838,1136838,0.030350000000000002
54,"(0.0253, 0.0354]",7.0,1053896,1053896,1053896,1053896,1053896,0.030350000000000002
55,"(0.0253, 0.0354]",8.0,996894,996894,996894,996894,996894,0.030350000000000002
56,"(0.0253, 0.0354]",9.0,827124,827124,827124,827124,827124,0.030350000000000002
57,"(0.0253, 0.0354]",10.0,750839,750839,750839,750839,750839,0.030350000000000002
58,"(0.0253, 0.0354]",11.0,634189,634189,634189,634189,634189,0.030350000000000002
59,"(0.0253, 0.0354]",12.0,574042,574042,574042,574042,574042,0.030350000000000002
60,"(0.0253, 0.0354]",13.0,493501,493501,493501,493501,493501,0.030350000000000002
61,"(0.0253, 0.0354]",14.0,423860,423860,423860,423860,423860,0.030350000000000002
62,"(0.0253, 0.0354]",15.0,371864,371864,371864,371864,371864,0.030350000000000002
63,"(0.0253, 0.0354]",16.0,307430,307430,307430,307430,307430,0.030350000000000002
64,"(0.0354, 0.0455]",1.0,0,0,0,0,0,0.04045
65,"(0.0354, 0.0455]",2.0,1133321,1133321,1133321,1133321,1133321,0.04045
66,"(0.0354, 0.0455]",3.0,1580664,1580664,1580664,1580664,1580664,0.04045
67,"(0.0354, 0.0455]",4.0,933011,933011,933011,933011,933011,0.04045
68,"(0.0354, 0.0455]",5.0,1078614,1078614,1078614,1078614,1078614,0.04045
69,"(0.0354, 0.0455]",6.0,844614,844614,844614,844614,844614,0.04045
70,"(0.0354, 0.0455]",7.0,808572,808572,808572,808572,808572,0.04045
71,"(0.0354, 0.0455]",8.0,724249,724249,724249,724249,724249,0.04045
72,"(0.0354, 0.0455]",9.0,616144,616144,616144,616144,616144,0.04045
73,"(0.0354, 0.0455]",10.0,526419,526419,526419,526419,526419,0.04045
74,"(0.0354, 0.0455]",11.0,462537,462537,462537,462537,462537,0.04045
75,"(0.0354, 0.0455]",12.0,402650,402650,402650,402650,402650,0.04045
76,"(0.0354, 0.0455]",13.0,340045,340045,340045,340045,340045,0.04045
77,"(0.0354, 0.0455]",14.0,293397,293397,293397,293397,293397,0.04045
78,"(0.0354, 0.0455]",15.0,249088,249088,249088,249088,249088,0.04045
79,"(0.0354, 0.0455]",16.0,203873,203873,203873,203873,203873,0.04045
80,"(0.0455, 0.0556]",1.0,0,0,0,0,0,0.05055
81,"(0.0455, 0.0556]",2.0,817358,817358,817358,817358,817358,0.05055
82,"(0.0455, 0.0556]",3.0,1127646,1127646,1127646,1127646,1127646,0.05055
83,"(0.0455, 0.0556]",4.0,687822,687822,687822,687822,687822,0.05055
84,"(0.0455, 0.0556]",5.0,796308,796308,796308,796308,796308,0.05055
85,"(0.0455, 0.0556]",6.0,625613,625613,625613,625613,625613,0.05055
86,"(0.0455, 0.0556]",7.0,559109,559109,559109,559109,559109,0.05055
87,"(0.0455, 0.0556]",8.0,585982,585982,585982,585982,585982,0.05055
88,"(0.0455, 0.0556]",9.0,435674,435674,435674,435674,435674,0.05055
89,"(0.0455, 0.0556]",10.0,376503,376503,376503,376503,376503,0.05055
90,"(0.0455, 0.0556]",11.0,321872,321872,321872,321872,321872,0.05055
91,"(0.0455, 0.0556]",12.0,295893,295893,295893,295893,295893,0.05055
92,"(0.0455, 0.0556]",13.0,233389,233389,233389,233389,233389,0.05055
93,"(0.0455, 0.0556]",14.0,213207,213207,213207,213207,213207,0.05055
94,"(0.0455, 0.0556]",15.0,165255,165255,165255,165255,165255,0.05055
95,"(0.0455, 0.0556]",16.0,138151,138151,138151,138151,138151,0.05055
96,"(0.0556, 0.0657]",1.0,0,0,0,0,0,0.060649999999999996
97,"(0.0556, 0.0657]",2.0,659337,659337,659337,659337,659337,0.060649999999999996
98,"(0.0556, 0.0657]",3.0,880543,880543,880543,880543,880543,0.060649999999999996
99,"(0.0556, 0.0657]",4.0,538022,538022,538022,538022,538022,0.060649999999999996
